code,label
1,Oportunidade de gerar resultado de impacto positivo
2,Oportunidade de colocar em prática habilidades que já adquiri
3,Desenvolvimento de novas habilidades técnicas e/ou de liderança
4,Uma rede colaborativa para networking
5,Espaço para adquirir novos conhecimentos sobre finanças sustentáveis
